time,open,high,low,close,tick_volume,spread,real_volume
2012-02-08,1.32474,1.32878,1.32148,1.3247,84331,5,0
2012-02-09,1.32471,1.33199,1.3225799999999999,1.32752,86535,6,0
2012-02-10,1.32751,1.32901,1.31551,1.3195700000000001,81818,5,0
2012-02-12,1.3237999999999999,1.32599,1.32236,1.32394,3254,12,0
2012-02-13,1.32393,1.32833,1.31449,1.31531,81004,5,0
2012-02-14,1.31532,1.32154,1.308,1.3128,86291,5,0
2012-02-15,1.3127900000000001,1.31902,1.30442,1.3054299999999999,92926,5,0
2012-02-16,1.30544,1.31572,1.29745,1.31268,91121,5,0
2012-02-17,1.31268,1.31964,1.31148,1.31418,72971,6,0
2012-02-19,1.32026,1.32365,1.32013,1.3223099999999999,3031,12,0
2012-02-20,1.3223,1.32762,1.31821,1.3207,67798,4,0
2012-02-21,1.32069,1.32922,1.3186499999999999,1.32481,88228,4,0
2012-02-22,1.32481,1.32652,1.3211,1.32539,81623,5,0
2012-02-23,1.32538,1.33776,1.32309,1.3373,77318,5,0
2012-02-24,1.3373,1.34856,1.33569,1.34478,70766,5,0
2012-02-26,1.34595,1.34707,1.3456000000000001,1.3467,2448,13,0
2012-02-27,1.34669,1.34674,1.33662,1.34066,81515,5,0
2012-02-28,1.34067,1.34788,1.33896,1.34786,84241,5,0
2012-02-29,1.34785,1.34851,1.33145,1.33234,88319,5,0
2012-03-01,1.33235,1.33559,1.32825,1.33235,80061,5,0
2012-03-02,1.3323800000000001,1.3332,1.31876,1.31979,75164,5,0
2012-03-04,1.3195299999999999,1.3204799999999999,1.31826,1.31852,1898,12,0
2012-03-05,1.31851,1.32394,1.316,1.32227,76821,5,0
2012-03-06,1.3222800000000001,1.32252,1.3103,1.31195,82547,5,0
2012-03-07,1.3119399999999999,1.31636,1.30961,1.31397,76245,5,0
2012-03-08,1.31398,1.32904,1.31349,1.3272,78384,5,0
2012-03-09,1.32718,1.32718,1.30966,1.3122099999999999,72874,5,0
2012-03-11,1.3115999999999999,1.31241,1.31156,1.31215,1324,12,0
2012-03-12,1.31215,1.3172,1.30786,1.31696,71159,5,0
2012-03-13,1.31694,1.31905,1.3051599999999999,1.3078699999999999,74481,5,0
2012-03-14,1.30786,1.30901,1.30106,1.30215,72258,5,0
2012-03-15,1.30214,1.3118400000000001,1.30032,1.3076699999999999,74773,5,0
2012-03-16,1.3076699999999999,1.3186200000000001,1.30484,1.31735,65100,5,0
2012-03-18,1.3179699999999999,1.31815,1.3175,1.31758,1035,11,0
2012-03-19,1.31758,1.32642,1.31415,1.3229,61544,5,0
2012-03-20,1.32288,1.32512,1.3172,1.32376,67215,5,0
2012-03-21,1.32376,1.3284,1.3178,1.3216999999999999,69835,5,0
2012-03-22,1.32169,1.3254000000000001,1.3134299999999999,1.32035,74625,5,0
2012-03-23,1.32035,1.32916,1.31906,1.3269,67098,5,0
2012-03-25,1.3268,1.32808,1.32675,1.32801,1563,12,0
2012-03-26,1.328,1.33667,1.3191899999999999,1.33544,70518,5,0
